    
 Bangalore Rural | Hoskote       | Nelavagilu       |454| G.H.P.S.Chikkondahalli
 Dharwad         | Kalghatgi     | Kalghatgi        |150| G.H.P.S. Hulaginakatti
 Dharwad         | Kalghatgi     | T-Honnalli       |174| G.H.P.S. Bendalagtti
 Ramnagara      | Kanakapura    | Hukunda          |108| G.H.P.S. Shivanegowdanadoddi
 Dharwad         | Kalghatgi     | Ganjigatti       |161| G.H.P.S. Bagadageri
 Bangalore Rural | Hoskote       | Vagata           |231| G.H.P.S.Kanekallu
 Bangalore Rural | Hoskote       | Tavarekere       |446| G.H.P.S.Gangapura
 Davanagere      | Harapanahalli | Kunchur          |562| G.H.P.S.Kunchur 
 Dharwad         | Kalghatgi     | Dastikoppa       |164| G.H.P.S. Sangadevarakoppa
 Bangalore       | Anekal        | Harapanahalli    |325| Harapanahalli
 Chikballapur    | Gauribidnur   | Thondebhavi      |293| G.H.P.S.Bevenahalli
 Davanagere      | Harapanahalli | Chigatgeri       |554| G.H.P.S.Konganhosooru
 Dharwad         | Kalghatgi     | Hulkoppa         |484| G.H.P.S.HulakoppaJP
 Bangalore Rural | Hoskote       | Jadigenahalli    |208| G.H.P.S.Jadigenahlli
 Bangalore Rural | Hoskote       | Begur            |220| G.H.P.S.Kamblipura
 Bangalore Rural | Hoskote       | Tavarekere       |450| G.H.P.S.Ummalu
 Ramnagara      | Kanakapura    | Maralebekuppe    |27| G.H.P.S. Maralebekuppe
 Bangalore Rural | Hoskote       | Hosakote         |232| G.H.P.S.G G M S 
 Ramnagara      | Kanakapura    | Hunasanahalli    |126| G.H.P.S. Sarahaddinadoddi
 Ramnagara      | Kanakapura    | Sathanuru        |101| G.H.P.S. Nagarasanakote
 Bangalore Rural | Hoskote       | Devanagundi      |193| G.H.P.S.Medimallasandra
 Ramnagara      | Kanakapura    | Kanakapura Town  |25| G.H.P.S. Kallahalli
 Bangalore Rural | Hoskote       | Kalkunte         |201| G.H.P.S.Gangaluru
 Dharwad         | Kalghatgi     | T-Honnalli       |172| G.H.P.S. Dyavanakonda
 Ramnagara      | Kanakapura    | Halasuru         |72| G.H.P.S. Harihara
 Dharwad         | Kalghatgi     | Dhummavada       |518| G.H.P.S.Dummavada
 Bangalore       | Anekal        | Harapanahalli    |326| Krishanadoddi
 Chikballapur    | Chikballapur  | Kondenahalli     |268| G.H.P.S.Giddanahalli
 Dharwad         | Kalghatgi     | Ganjigatti       |159| G.H.P.S. Surasettikoppa
 Ramnagara      | Kanakapura    | Erandyapanahalli |46| G.H.P.S. Bijjahalli
 Bangalore       | Anekal        | Hennagara        |320| Hulimangala
 Bangalore Rural | Hoskote       | Nandagudi        |461| G.H.P.S.Ettasandra
 Ramnagara      | Kanakapura    | Cheeluru         |58| G.H.P.S. Doddasadenahalli
 Dharwad         | Kalghatgi     | Muthagi          |146| G.H.P.S. Linganakoppa
 Dharwad         | Kalghatgi     | Kudalagi         |156| G.H.P.S. Hatakinala
 Bangalore Rural | Hoskote       | Kalkunte         |200| G.H.P.S.Maranagere
 Bangalore Rural | Hoskote       | Vagata           |228| G.H.P.S.Honchanahalli
 Bangalore Rural | Hoskote       | Nandagudi        |460| G.H.P.S.Dharmeshwara
 Ramnagara      | Kanakapura    | Athihalli        |69| G.H.P.S. Guruvinapura
 Ramnagara      | Kanakapura    | Cheeluru         |35| G.H.P.S. T.Hosahalli
